NewName,Name
Mainz,Mainz
Frankfurt,Ein Frankfurt
M'gladbach,M'gladbach
Bremen,Werder Bremen
Bochum,Bochum
Hertha BSC,Hertha
Augsburg,Augsburg
Hoffenheim,Hoffenheim
Dortmund,Dortmund
1. FC Köln,FC Koln
Wolfsburg,Wolfsburg
RB Leipzig,RB Leipzig
Schalke,Schalke 04
Stuttgart,Stuttgart
Freiburg,Freiburg
Leverkusen,Leverkusen
Bayern,Bayern Munich
Union Berlin,Union Berlin
Fulham,Fulham
Wolverhampton,Wolves
Newcastle,Newcastle
Brighton Hove,Brighton
West Ham,West Ham
Nottingham,Nott'm Forest
Leicester City,Leicester
Arsenal,Arsenal
Leeds United,Leeds
Southampton,Southampton
Everton,Everton
Aston Villa,Aston Villa
Bournemouth,Bournemouth
Man City,Man City
Crystal Palace,Crystal Palace
Liverpool,Liverpool
Tottenham,Tottenham
Chelsea,Chelsea
Man United,Man United
Brentford,Brentford
Elche,Elche
Real Betis,Betis
Espanyol,Espanol
Mallorca,Mallorca
Cádiz CF,Cadiz
Rayo Vallecano,Vallecano
Real Madrid,Real Madrid
Atleti,Ath Madrid
Valencia,Valencia
Real Sociedad,Sociedad
Athletic,Ath Bilbao
Girona,Girona
Celta,Celta
Valladolid,Valladolid
Almería,Almeria
Barça,Barcelona
Sevilla FC,Sevilla
Osasuna,Osasuna
Villarreal,Villarreal
Getafe,Getafe
Empoli,Empoli
Napoli,Napoli
Lecce,Lecce
Sassuolo,Sassuolo
Bologna,Bologna
Inter,Inter
Salernitana,Salernitana
Monza,Monza
Udinese,Udinese
Spezia Calcio,Spezia
Milan,Milan
Atalanta,Atalanta
Verona,Verona
Fiorentina,Fiorentina
Lazio,Lazio
Sampdoria,Sampdoria
Cremonese,Cremonese
Roma,Roma
Juventus,Juventus
Torino,Torino
Coventry City,Coventry
Sunderland,Sunderland
Norwich,Norwich
Cardiff,Cardiff
Birmingham,Birmingham
Luton Town,Luton
Bristol City,Bristol City
Hull City,Hull
Burnley,Burnley
Huddersfield,Huddersfield
West Brom,West Brom
Middlesbrough,Middlesbrough
Stoke,Stoke
Millwall,Millwall
Preston NE,Preston
Wigan Athletic,Wigan
QPR,QPR
Blackburn,Blackburn
Reading,Reading
Blackpool,Blackpool
Sheffield Utd,Sheffield United
Watford,Watford
Swansea,Swansea
Rotherham Utd,Rotherham
Lille,Lille
Brest,Brest
Angers SCO,Angers
Olympique Lyon,Lyon
Montpellier,Montpellier
RC Lens,Lens
Lorient,Lorient
Auxerre,Auxerre
Clermont Foot,Clermont
Strasbourg,Strasbourg
AC Ajaccio,Ajaccio
Troyes,Troyes
Stade de Reims,Reims
Toulouse,Toulouse
Nantes,Nantes
Stade Rennais,Rennes
Monaco,Monaco
Nice,Nice
Marseille,Marseille
PSG,Paris SG

